DATA,ATIVO,COTAS,VLR COTA,TOTAL
2014-06-23 00:00:00,ETER3,100.0,8.48,848.0
2014-07-31 00:00:00,ETER3,100.0,8.52,852.0
2014-08-07 00:00:00,ETER3,100.0,8.59,859.0
2014-08-13 00:00:00,VALE5,80.0,27.76,2220.8
2014-08-25 00:00:00,ETER3,200.0,8.39,1678.0
2014-08-27 00:00:00,VALE5,50.0,27.25,1362.5
2014-08-28 00:00:00,VALE5,70.0,26.12,1828.4
2014-09-01 00:00:00,ETER3,100.0,8.36,836.0
2014-09-05 00:00:00,VALE5,100.0,24.7,2470.0
2014-09-12 00:00:00,ETER3,200.0,7.87,1574.0
2014-10-01 00:00:00,ETER3,800.0,0.0,0.0
2016-03-15 00:00:00,PETR4,200.0,6.7,1340.0
2016-03-16 00:00:00,BBAS3,100.0,18.22,1822.0
2016-03-17 00:00:00,PETRD10,100.0,0.3,30.0
2016-03-23 00:00:00,PETR4,500.0,7.9,3950.0
2016-04-04 00:00:00,PETR4,600.0,7.8,4680.0
2016-04-27 00:00:00,CMIG3,600.0,7.48,4488.0
2016-07-21 00:00:00,ITSA4,100.0,8.34,834.0
2016-07-26 00:00:00,CMIG3,400.0,8.9,3560.0
2016-07-27 00:00:00,PETR4,100.0,11.65,1165.0
2016-07-28 00:00:00,BBAS3,49.0,20.69,1013.8100000000001
2016-07-28 00:00:00,BBAS3,51.0,20.7,1055.7
2016-08-02 00:00:00,TAEE11,100.0,23.35,2335.0
2016-08-04 00:00:00,ITSA4,100.0,8.66,866.0
2016-08-09 00:00:00,KLBN4,500.0,2.51,1255.0
2016-08-16 00:00:00,PETRI29,10000.0,0.01,100.0
2016-08-11 00:00:00,ETER3,800.0,1.76,1408.0
2016-08-18 00:00:00,CMIG3,100.0,9.44,944.0
2016-08-18 00:00:00,ETER3,200.0,1.73,346.0
2016-08-24 00:00:00,CMIG3,100.0,8.85,885.0
2016-08-26 00:00:00,ITSA4,100.0,8.55,855.0000000000001
2016-08-31 00:00:00,ITSA4,100.0,8.57,857.0
2016-09-02 00:00:00,ETER3,800.0,1.65,1320.0
2016-09-02 00:00:00,KLBN4,500.0,2.58,1290.0
2016-09-02 00:00:00,ITSA4,200.0,8.41,1682.0
2016-09-20 00:00:00,CMIG3,100.0,8.6,860.0
2016-10-03 00:00:00,TAEE11,100.0,20.81,2081.0
2016-10-10 00:00:00,ITSA4,200.0,8.81,1762.0
2016-10-20 00:00:00,CMIG3,200.0,8.85,1770.0
2016-10-25 00:00:00,ITSA4,200.0,8.81,1762.0
2016-11-01 00:00:00,TAEE11,76.0,20.46,1554.96
2016-11-14 00:00:00,CMIG3,100.0,8.94,894.0
2016-11-16 00:00:00,TAEE11,60.0,18.58,1114.8
2016-11-18 00:00:00,TAEE11,64.0,18.83,1205.12
2016-11-23 00:00:00,ITSA4,100.0,8.74,874.0
2016-12-01 00:00:00,CMIG3,200.0,7.75,1550.0
2016-12-09 00:00:00,ITSA4,100.0,8.19,819.0
2016-12-20 00:00:00,ITSA4,100.0,7.93,793.0
2017-01-02 00:00:00,ETER3,500.0,1.42,710.0
2017-01-04 00:00:00,KLBN4,300.0,2.81,843.0
2017-01-16 00:00:00,ITSA4,100.0,8.7,869.9999999999999
2017-01-23 00:00:00,HGTX3,100.0,15.73,1573.0
2017-02-01 00:00:00,HGTX3,100.0,15.54,1554.0
2017-02-01 00:00:00,KLBN4,500.0,2.79,1395.0
2017-03-06 00:00:00,ITSA4,100.0,10.01,1001.0
2017-03-14 00:00:00,PETR4,100.0,13.9,1390.0
2017-03-28 00:00:00,ITSA4,100.0,9.68,968.0
2017-04-04 00:00:00,ETER3,1000.0,1.31,1310.0
2017-05-22 00:00:00,CMIG3,100.0,7.89,789.0
2017-05-24 00:00:00,CMIG3,100.0,7.89,789.0
2017-05-31 00:00:00,ITSA4,200.0,8.93,1786.0
2017-06-08 00:00:00,CSNA3,300.0,6.48,1944.0000000000002
2017-06-13 00:00:00,ITSA4,200.0,8.84,1768.0
2017-07-06 00:00:00,HGTX3,70.0,19.5,1365.0
2017-07-14 00:00:00,BCFF11,35.0,67.96,2378.6
2017-07-24 00:00:00,BCFF11,28.0,69.71,1951.8799999999999
2017-08-02 00:00:00,BCFF11,30.0,69.79,2093.7000000000003
2017-08-11 00:00:00,BCFF11,27.0,69.5,1876.5
2017-08-18 00:00:00,BCFF11,30.0,69.75,2092.5
2017-09-25 00:00:00,BCFF11,30.0,70.15,2104.5
